,Text,User
39434,"N'oublions pas que le sans-frontiérisme et l'affaiblissement simultané de l'État proviennent d'une même idéologie. C'est celle de Macron, de l'UE, de nos dirigeants depuis 40 ans. Ils ont compromis l'unité et l'avenir de la France, tout simplement.",Vincent Lapierre
29911,Très troublant...,Paul-Marie Coûteaux
31185,"Cher @GeoffroyLejeune,
tu es l'honneur du journalisme français : tu sacrifies ta carrière à tes convictions.
Tes amis sont fiers de l'amitié que tu leur donnes et de la voie que tu traces.
Je ne doute pas que tu rebondisses très vite.
La France a besoin de toi.",Philippe de Villiers
36940,"""La facture d'électricité des Français baissera de 10 à 15% l'an prochain"" assure @BrunoLeMaire https://t.co/i0lw3d4Zrh",Sud Radio
10495,"Le « compte officiel de la présidence de la République française et de l’Élysée » fait campagne pour la candidate du parti Renaissance !

Tout va bien en Macronie ! 🤦
⤵️",Florian Philippot
32785,"Messe d'action de grace pour le 42e pèlerinage de Notre-Dame de Chrétienté a 19h30 en l'Eglise Sainte Odile dans le XVIIe arrondissement de Paris. 
#ndc2024 @ndchretiente https://t.co/btkShER6Ya",Radio Courtoisie
24194,"« Sud Radio : parlons vrai », vraiment ? Jean-Dominique Michel s’interroge !
https://t.co/VqIhQOyId9

@MichelJeanDomi1  revient sur la décision de @SudRadio de ne pas  publier son dernier face à face avec @andrebercoff  sur leur chaîne YouTube. 

Cette décision a empêché https://t.co/x128mDf9Es",Le Média en 4-4-2
9485,"Carole et Thibaut offrent un accueil en or pendant les vacances. Leur joie : permettre aux familles de passer du temps de qualité et de se reposer.
https://t.co/gZxePNCygU",Famille Chrétienne
35968,"Que cette célébration de #Pâques vous apporte joie et bonheur en famille, et qu’elle soit un symbole d’espoir pour les Chrétiens persécutés à travers le monde ! 

Joyeuses fêtes à tous ! https://t.co/3PriFexY4d",Steeve Briois
24785,"Dieudonné et Carlo Brusa : où s’arrête la liberté d’expression ?
https://t.co/c6JhBME18M

Dieudo évoque son parcours, de ses débuts dans le métier de comédien à ses spectacles les plus récents. Il aborde également la question de la liberté d'expression, qu'il considère comme la https://t.co/DGyyi8zta0",Le Média en 4-4-2
16142,"Le #nazisme a été détruit et la paix est revenue, avec la démocratie. Mais avec #Macron, c'est : ""Courage, fuyons"". A quand un #Nuremberg2 du #Hamas et de l'#islamisme ? #Israel",Ivan Rioufol ن
25257,"La #GPA est le summum du business de la procréation, car c’est la vente et l’achat d’un enfant. C’est un trafic d’êtres humains.

Les enfants ne doivent faire l’objet d’aucun trafic. La femme n’est pas un moyen de production. https://t.co/1y7pTPa7f9",Le Syndicat de la Famille
25087,"Atteint d’une maladie incurable, Antoine Mesnier fond en larmes en direct en apprenant qu’il vient de devenir grand-père. « On a envie de vivre dans ces cas-là.»

Jusqu'au dernier souffle, la vie est la vie. Oser l'abréger sera toujours vertigineux.
https://t.co/zsAYuphzmM",Le Syndicat de la Famille
2418,"Il n’y a pas de solution à la mort... @causeur 

https://t.co/WiAzEbB1th",Causeur.fr
38176,"🎥 « L'énorme problème en France aujourd'hui, ce sont les cités hors contrôle. [...] Les métastases gagnent, y compris les petites villes et la campagne. » - Xavier Raufer

LSP à retrouver sur TVL 🔻
https://t.co/VNUClka50m https://t.co/Yluuc1xSLh",TVL
39365,Je n'ai jamais été autant menacé de mort. Je pense à acheter un gilet anti-coup de couteau. On en est là. Rappel : je suis un mec dont la seule arme est un micro. Nous devrions tous avoir honte de l'état de notre pays.,Vincent Lapierre
39680,"Une émission qui a été particulièrement sympathique à tourner ! 🍷😉

N’hésitez pas à aller vous abonner à cette nouvelle émission présentée par @DenisCieslik sur YouTube",Thaïs d’Escufon
25762,"Depuis des mois, l’extrême-gauche est super bonne élève sur le sujet de la 🇵🇸

Et le jour où elle sort dans la rue sur un sujet franco-français, elle se fait passer un savon par une femme voilée en keffieh qui lui met un 0/20. Ouch. La France soumise. 
https://t.co/JI7CmMIiWX",Marguerite Stern
36097,"Pour des raisons de démonétisation récurrente sur la chaîne principale, nous avons publié sur une chaîne test la semaine dernière : https://t.co/YBXFhTYeJ4",Stéphane Edouard
43625,"G.Attal ce matin au Conseil des ministres comme chef du Gvt et élu avant hier pdt de groupe a l’AN : inédit, et parfaitement inconstitutionnel. Peut-on vraiment bafouer autant la Constitution et continuer de prétendre qu’on respecte le peuple et la démocratie ? Foutaises. https://t.co/vU2yjUD0lw",Jean-Frédéric Poisson
39547,"Une femme ne vous aime jamais pour “qui vous êtes”.

Elle vous aime pour le statut que vous lui apportez, le style de vie que vous lui offrez, le divertissement que vous lui procurez. https://t.co/E5z0QDhXYn",Thaïs d’Escufon
28193,https://t.co/IN6rx6mzKC https://t.co/NC3IotiTFT,mozinor
13458,"«La France est le seul pays d’Europe où il y a eu des massacres de juifs ces dernières années: les Halimi, Mme Knoll, l’hypercasher et Ozar Hatorah de Toulouse.
Les assassins ont été reconnus antisémites et tous islamistes que Mélenchon passe son temps à défendre.»
#Cnews https://t.co/voLDsMJMeY",G-William Goldnadel
27348,"Pour justifier l'envoi de soldats  Ukraine, #macron20h a une explication qui sera historique : "" “Vous êtes assis devant moi… est-ce que vous êtes debout ? Non ! Est-ce que vous excluez de vous lever à la fin de cette interview ? Vous n’allez pas l’exclure”.""Au delà du malaise. https://t.co/b4k25q00Pi",Martial Bild
43426,"Bah alors, @ARTEfr : deux vidéos ""pédagogiques"" sur le RN en deux jours ?
On aurait peur de quelque chose, peut-être ? Pourquoi, avant même de cliquer, je sais que vous allez chercher à nous dissuader de voter à droite ? 
Vous assumez cette partialité, ça marche comment ? https://t.co/Ar5aDiUcE5",Daniel Conversano
23888,"Mémoire de Tian’anmen : à Pékin, le fond de l’air est rouge sang https://t.co/7nV48QyJLH",Le JDD
39176,"🔴[NOUVEAU] Accédez aux articles de Valeurs actuelles directement via la bio Instagram 

 ⬇️ https://t.co/6o6DvhwoMc",Valeurs actuelles ن
23576,"Alain Finkielkraut n'exclut pas d'être ""contraint"" de voter RN pour faire barrage à LFI https://t.co/XVciqHULoX",Le JDD
33503,"🔴 L'extrême-gauche ne cache plus son soutien aux islamistes, insultant la mémoire des victimes du Hamas.

LFI porte une lourde responsabilité dans la montée de l'antisémitisme. Les 30 juin et 7 juillet, ne leur donnez pas le pouvoir. Votez RN !

#BardellaPremierMinistre https://t.co/dd9YQelbNj",Rassemblement National
18398,"55% des Français sont méfiants de l'#UE.
Si les membres de la Commission cessaient d'outrepasser les prérogatives des traités cela pourrait certainement améliorer les choses.

https://t.co/aRpRoTaXW9",Jerome Riviere 🇫🇷
9092,"Le pape François a encouragé le chrétien à être « sans peur, sans calcul et sans condition », en célébrant l’angélus. Introduisant la prière mariale depuis la place Saint-Pierre, il a mis en garde contre « les mythes de l’argent, du pouvoir et du succès ».
https://t.co/ctOjdZHpxJ",Famille Chrétienne
35735,"A midi #MidiNews @CNEWS 
- #oudeacastera De quoi cette polémique est-le nom? 
- #ecole Match privé/public 
- #Migrants: Les îles Canaries, le nouvel Lampedusa européen 
- #Macron: Une conférence de presse pour quels changements? 
- #Estrosi tacle les LR après la nomination #Dati",Mabrouk Sonia
20579,"Macron fanfaronne depuis ce matin après le rachat par EDF des turbines Arabelle à General Electric.
Ministre  de l’Économie, il brada pourtant en 2015 cet actif stratégique au bénéfice du géant américain.
Nous sommes nombreux à ne pas lui pardonner ce retournement de veste. https://t.co/z8xfRIhZwK",Karim Ouchikh
15231,"Toujours à #Agen afin d’échanger avec Adrien Pedrazzi, Président général de l’Union des Métiers et des Industries de l’Hôtellerie du Lot-et-Garonne sur de nombreuses thématiques du secteur et notamment le traitement et la valorisation des bio-déchets. #UMIH47 https://t.co/UNba2EXj0O",Hélène Laporte
17307,"Vide grenier à Barville-en-Gâtinais cet après-midi.
Rencontre avec les électeurs de la 5eme circonscription du Loiret.
Aujourd’hui la pluie.
Le 30 juin, le soleil ☀️ !
Votez Bardella, c’est voter pour la France 🇫🇷. https://t.co/msX2dxWGhq",Jean-Lin Lacapelle
23793,"🗞️ À la Une du Journal du Dimanche du 9 juin !
➡️ Élections européennes : les dix scénarios après le Big Bang
➡️ Kingsley Coman se confie à une semaine de l’Euro
➡️ Euthanasie : Gilles Freyer lance un cri d’alarme
➡️ Le témoignage exclusif d’un médecin de MSF à Gaza https://t.co/PJB1JmyWih",Le JDD
11804,"Pardonnez-moi mais Marine Le Pen et Emmanuel Macron ne sont pas dans la même dynamique : l’une se prépare à réaliser la grande alternance en 2027, l’autre se prépare à partir à la retraite ou plus sûrement à repartir faire de l’argent dans la Finance.

#VivementLe9Juin https://t.co/8okcPgBSBf",Franck Allisio
32678,"🎙️🔴 À 12h, écoutez le ""Libre journal du Théatre""  de Jean-Luc Jeener 

🗣️""De mes malheurs a surgi un trésor""

👥Avec : • Djamel Guesmi, comédien, metteur en scène, auteur, fondateur de la compagnie « Les tréteaux du monde »

👉 À écouter sur https://t.co/kUd3XTYOQn ou sur FM https://t.co/b7IdxYLAkQ",Radio Courtoisie
5381,«Le retour du piège de Mitterrand» : l'édito de Mathieu Bock-Côté dans #Facealinfo https://t.co/FLjHL6xEVd,CNEWS
