Text,User
55% des français sont méfiants de l'ue. si les membres de la commission cessaient d'outrepasser les prérogatives des traités cela pourrait certainement améliorer les choses.,Jerome Riviere 🇫🇷
"le pape françois a encouragé le chrétien à être « sans peur, sans calcul et sans condition », en célébrant l’angélus. introduisant la prière mariale depuis la place saint-pierre, il a mis en garde contre « les mythes de l’argent, du pouvoir et du succès ».",Famille Chrétienne
"a midi midinews - oudeacastera de quoi cette polémique est-le nom? - ecole match privé/public - migrants: les îles canaries, le nouvel lampedusa européen - macron: une conférence de presse pour quels changements? - estrosi tacle les lr après la nomination dati",Mabrouk Sonia
"macron fanfaronne depuis ce matin après le rachat par edf des turbines arabelle à general electric. ministre de l’économie, il brada pourtant en 2015 cet actif stratégique au bénéfice du géant américain. nous sommes nombreux à ne pas lui pardonner ce retournement de veste.",Karim Ouchikh
"toujours à agen afin d’échanger avec adrien pedrazzi, président général de l’union des métiers et des industries de l’hôtellerie du lot-et-garonne sur de nombreuses thématiques du secteur et notamment le traitement et la valorisation des bio-déchets. umih47",Hélène Laporte
"vide grenier à barville-en-gâtinais cet après-midi. rencontre avec les électeurs de la 5eme circonscription du loiret. aujourd’hui la pluie. le 30 juin, le soleil :sun: ! votez bardella, c’est voter pour la france :france:.",Jean-Lin Lacapelle
:rolled-up_newspaper: à la une du journal du dimanche du 9 juin ! :right_arrow: élections européennes : les dix scénarios après le big bang :right_arrow: kingsley coman se confie à une semaine de l’euro :right_arrow: euthanasie : gilles freyer lance un cri d’alarme :right_arrow: le témoignage exclusif d’un médecin de msf à gaza,Le JDD
"pardonnez-moi mais marine le pen et emmanuel macron ne sont pas dans la même dynamique : l’une se prépare à réaliser la grande alternance en 2027, l’autre se prépare à partir à la retraite ou plus sûrement à repartir faire de l’argent dans la finance. vivementle9juin",Franck Allisio
":studio_microphone::red_circle: à 12h, écoutez le ""libre journal du théatre"" de jean-luc jeener :speaking_head:""de mes malheurs a surgi un trésor"" :busts_in_silhouette:avec : • djamel guesmi, comédien, metteur en scène, auteur, fondateur de la compagnie « les tréteaux du monde » :backhand_index_pointing_right: à écouter sur ou sur fm",Radio Courtoisie
«le retour du piège de mitterrand» : l'édito de mathieu bock-côté dans facealinfo,CNEWS
les chefs d'entreprise français s'empressent de nouer des contacts avec le rn effrayés par le programme du nouveaufrontpopulaire révèle le financial times,Fdesouche.com est une revue de presse
«je voulais juste garder cette séparation» : ewan mitchell révèle avoir évité matt smith sur le tournage de «house of the dragon»,CNEWS
retrouvez-moi ce dimanche 19 novembre sur de 11h00 à 13h00 pour commenter l'actualité autour de et de ses autres invités. midinewswe,Kevin Bossuet
"obligation vaccinale pour les militaires et gendarmes – entretien de maitre guyon avec l’apnm militaires libres : en avril 2024, l’obligation vaccinale contre la covid-19 pour les gendarmes et militaires reste en vigueur, malgré son inutilité déclarée par",Le Média en 4-4-2
":fishing_pole: en tant que membre du groupe d’études pêche à l’assemblée nationale, j’interpelle madame la secrétaire d’état chargée de la biodiversité sur la double imposition subie par certains pêcheurs professionnels en eau douce. ma question écrite : :right_arrow:",Hélène Laporte
"ils ont fait de sciencespo paris ce que leurs aînés ont fait de la france. une décharge islamo-gauchiste à ciel ouvert où les étudiants élégants et aimables d’antan ont été remplacés par des crasseux en keffieh déguisés en palestiniens hamas, appelant à la destruction…",Jean MESSIHA
:television: éric ciotti tient tête aux cadres qui ont décidé de l'exclure de lr et se rend à son bureau au sein des locaux du parti. legislativesanticipées,TVL
quatennens renonce à sa candidature. son maintien forcené a tellement fait le feuilleton que ça ne sert plus à rien :rolling_on_the_floor_laughing:,Laurent Obertone
"eure-et-loir: pour faire barrage au rn, , les macronistes de renaissance et les islamo-gauchistes du nouveaufrontpopulaire unissent leurs forces autour de la candidature de",Fdesouche.com est une revue de presse
"ok, 1er ministre. l’opération est lancée.",Julien Rochedy
":studio_microphone:non à la police politique dans l'audiovisuel, philippe muray… avec jeremy stubbs et jonathan siksou, je vous présente le sommaire du nouveau magazine causeur. écoutez notre podcast hebdomadaire ici :backhand_index_pointing_down:",Elisabeth Lévy
"ils ont éteint notre pays, nous sommes ceux qui le rallumeront. tous à paris ! :france: votezbardella europeennes2024",Laure Lavalette
"excellent dominique devillepin qui recadre avec brio bhl en lui rappelant l’horreur des guerres de l’état profond : irak, libye, etc. ! (cf vidéo :right_arrow_curving_down:) et qui le remet vertement à sa place « je ne crois pas que la posture sur les plateaux de télévision soit la bonne réponse ! »…",Florian Philippot
"le 9 juin, allez voter ! allez voter pour que tous les enfants de france aient un avenir français. faites falloir votre volonté. si, dans ce moment d'expression démocratique, vous n’allez pas défendre la france, alors personne ne le fera à votre place ! montbélaird",Jordan Bardella
